eichenpfuhl,52.63674994235009,13.264899552316752,pond,0.0856,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
nibelungenteich,52.63723544350846,13.2786365261557,pond,0.1282,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
studententeich,52.45038655898902,13.284008330370265,pond,0.0546,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sudsee,52.43199846559476,13.417779336318691,pond,1.7385,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krossinsee,52.36329640935968,13.67809140572994,lake,142.4135,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krummes fenn,52.42450198227717,13.23090254479418,pond,417.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
große kaskade,52.50338062478105,13.289166485998695,pond,0.0352,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
waldteich im botanischen volkspark,52.60578970577877,13.39367586862169,pond,0.1314,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
chinateich,52.45498885641092,13.305720153709125,pond,0.03,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
laake,52.60147380250794,13.48951207131159,pond,0.1278,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
wuhlebecken,52.48196525727614,13.562739331998737,lake,3.5663,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
klarensee,52.463001160410926,13.38325752139073,pond,0.6422,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
amtsteich,52.448331647004856,13.599146618025436,pond,0.1002,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
vierrutenteich,52.612312369461634,13.334414338630488,pond,0.0577,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
brauningbecken,52.61181159198604,13.334640510327484,pond,0.1373,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
seerosenbecken,52.578754871466906,13.40545239235781,pond,0.0099,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
turkenpfuhl,52.44110536226422,13.407916188971145,pond,0.3848,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
