id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
829828377,unknown gas station,,RWE-Effizienz,,52.5015873,13.3352775,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.335278 52.501587)
829829425,unknown gas station,,RWE-Effizienz,,52.4837637,13.2964507,Charlottenburg-Wilmersdorf,11004004,Schmargendorf,0403,,,,,,,POINT (13.296451 52.483764)
848161504,unknown gas station,,RWE-Effizienz,,52.5050016,13.3000145,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.300014 52.505002)
948984236,Innogy,E.ON Drive,Innogy,,52.5082445,13.3765722,Mitte,11001001,Tiergarten,0104,,,,,,,POINT (13.376572 52.508244)
951715914,unknown gas station,,RWE-Effizienz,,52.506542,13.3223562,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.322356 52.506542)
951715921,Innogy,Innogy,Innogy,,52.5055709,13.3229279,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.322928 52.505571)
972435022,unknown gas station,,,,52.426589,13.5466399,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.54664 52.426589)
1104278129,unknown gas station,,Vattenfall,,52.5346286,13.5115476,Lichtenberg,11011011,Lichtenberg,1103,,,,limited,,,POINT (13.511548 52.534629)
1184068018,Vattenfall Ladesäule,,Vattenfall,,52.5097676,13.3773368,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.377337 52.509768)
1244643565,unknown gas station,,Vattenfall,,52.5028673,13.3390018,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,24/7,,,,,,POINT (13.339002 52.502867)
1244644142,unknown gas station,E.ON Drive,E.ON,,52.5187782,13.4091253,Mitte,11001001,Mitte,0101,,,,no,,,POINT (13.409125 52.518778)
1244656914,unknown gas station,,RWE-Effizienz,,52.5058153,13.3549562,Mitte,11001001,Tiergarten,0104,,,,,,,POINT (13.354956 52.505815)
1245844409,e.on,e.on,E.ON,,52.5286924,13.3788405,Mitte,11001001,Mitte,0101,24/7,,,yes,,,POINT (13.37884 52.528692)
