,detail_url,name,type,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,first_tenant,address,latitude,longitude,geometry,neighborhood_id,neighborhood,district,district_id,id
68,https://www.immowelt.de/expose/45f01de3-cb8e-4664-955e-081dc950dbb2,"Studio zur Miete 2.600 € 4 Zimmer 121,1 m² 4. Geschoss frei ab sofort Moabit Berlin 10557",Studio,2600.0,4.0,121.1,4,,,10557,no,", 10557 Moabit Berlin",52.5256483,13.3640508,POINT (13.3640508 52.5256483),0102,Moabit,Mitte,11001001,20260206_10049
69,https://www.immowelt.de/expose/04c66bc3-6c94-4a3e-a953-4aea7ea7b1ba,Studio zur Miete Tauschwohnung 500 € 1 Zimmer 37 m² Mitte Berlin 13351,Studio,500.0,1.0,37.0,,,,13351,no,", 13351 Mitte Berlin",52.5512472,13.3365138,POINT (13.3365138 52.5512472),0105,Wedding,Mitte,11001001,20260206_10050
71,https://www.immowelt.de/expose/0d680cb5-7a9c-4108-8c54-9f9642e6a407,"Wohnung zur Miete - Erstbezug 1.245 € 2 Zimmer 67,5 m² 2. Geschoss Kienhorststr. Reinickendorf Berlin 13403",Wohnung,1245.0,2.0,67.5,2,,,13403,yes,", 13403 Reinickendorf Berlin",52.5751043,13.3186742,POINT (13.3186742 52.5751043),1201,Reinickendorf,Reinickendorf,11012012,20260206_10051
73,https://www.immowelt.de/expose/d21ac73c-5061-4a33-9e07-027a10bc405d,Studio zur Miete Tauschwohnung 700 € 2 Zimmer 55 m² 7. Geschoss Neukölln Berlin 12053,Studio,700.0,2.0,55.0,7,,,12053,no,", 12053 Neukölln Berlin",52.4775104,13.4322817,POINT (13.4322817 52.4775104),0801,Neukölln,Neukölln,11008008,20260206_10052
76,https://www.immowelt.de/expose/3661e8cf-1103-4773-aee4-74e10456a21f,Studio zur Miete Tauschwohnung 560 € 3 Zimmer 61 m² 3. Geschoss Zehlendorf Berlin 14167,Studio,560.0,3.0,61.0,3,,,14167,no,", 14167 Zehlendorf Berlin",52.4215785,13.2788336,POINT (13.2788336 52.4215785),0602,Lichterfelde,Steglitz-Zehlendorf,11006006,20260206_10053
78,https://www.immowelt.de/expose/6ee5b9dd-e9eb-470c-87df-8d1606f1e0ff,Studio zur Miete Tauschwohnung 700 € 2 Zimmer 49 m² 3. Geschoss Schöneberg Berlin 10827,Studio,700.0,2.0,49.0,3,,,10827,no,", 10827 Schöneberg Berlin",52.4836896,13.3528221,POINT (13.3528221 52.4836896),0701,Schöneberg,Tempelhof-Schöneberg,11007007,20260206_10054
80,https://www.immowelt.de/expose/0b9c6081-6843-45de-8f24-675e4015720f,Studio zur Miete Tauschwohnung 1.387 € 4 Zimmer 135 m² 2. Geschoss Pankow Berlin 13187,Studio,1387.0,4.0,135.0,2,,,13187,no,", 13187 Pankow Berlin",52.5695591,13.4084463,POINT (13.4084463 52.5695591),0307,Pankow,Pankow,11003003,20260206_10055
81,https://www.immowelt.de/expose/77e669ae-802a-4caa-814d-17211d71da24,"Wohnung zur Miete 3.975 € 2 Zimmer 88,3 m² 9. Geschoss frei ab sofort Johannisplatz 3 Mitte Berlin 10117",Wohnung,3975.0,2.0,88.3,9,,,10117,no,", 10117 Mitte Berlin",52.5175184,13.3877686,POINT (13.3877686 52.5175184),0101,Mitte,Mitte,11001001,20260206_10056
82,https://www.immowelt.de/expose/dfe5c6b8-4fe6-4300-a20e-03a933e920af,Wohnung zur Miete 1.400 € 1 Zimmer 44 m² 2. Geschoss frei ab sofort Friedrichshain Berlin 10243,Wohnung,1400.0,1.0,44.0,2,,,10243,no,", 10243 Friedrichshain Berlin",52.5122697,13.4394216,POINT (13.4394216 52.5122697),0201,Friedrichshain,Friedrichshain-Kreuzberg,11002002,20260206_10057
84,https://www.immowelt.de/expose/37b7a58a-5ac5-401e-afcd-71dcddcc2409,Studio zur Miete Tauschwohnung 403 € 2 Zimmer 51 m² 1. Geschoss Prenzlauer Berg Berlin 10437,Studio,403.0,2.0,51.0,1,,,10437,no,", 10437 Berg Berlin",52.5461984,13.4109651,POINT (13.4109651 52.5461984),0301,Prenzlauer Berg,Pankow,11003003,20260206_10058
