id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13087297067,radschlagender pfau,sculpture,rudolf hilscher,,1101,11011011,,bronze; glass,1983,,,,52.5062077,13.5262724
13087297068,bocksvase,sculpture,friedrich christian glume,,1101,11011011,,sandstone,1956,,,,52.5039649,13.521432
13087297069,bocksvase,sculpture,friedrich christian glume,,1101,11011011,,sandstone,1956,,,,52.5040104,13.5216579
13087297070,ziegen,statue,walter lerche,,1101,11011011,,concrete,1956,,,,52.4994938,13.5285243
13087297075,fish,statue,edward chiwawa,,1101,11011011,,stone,2014,,,,52.5029133,13.5299948
13087297076,giraffe,statue,sidney majengwa,,1101,11011011,,,2015,,,,52.5037571,13.5296183
13087297077,owl,sculpture,juju tembo,,1101,11011011,,stone,2015,,,,52.5041012,13.5234056
13087297078,pelican,sculpture,tago tazvitya,,1101,11011011,,stone,2015,,,,52.5030552,13.5245458
13087297079,bird,statue,turai rukodzi,,1101,11011011,,stone,2016,,,,52.5019302,13.5251554
13087297080,elegant birds,statue,cosmos chingondi,,1101,11011011,,stone,2013,,,,52.5007627,13.5257879
13087297081,pelican family,statue,tawanda kapusi,,1101,11011011,,stone,2016,,,,52.4993402,13.526558
13087483727,formengruppe,sculpture,alfred paul trenkel,,0406,11004004,,stone,,,,,52.5385622,13.2804745
13120886573,four parts of a cube,sculpture,ewerdt hilgemann,,0701,11007007,,steel,2016,,Q136100451,,52.4825459,13.3574933
13140626953,anna elisabeth louise,bust,,,0104,11001001,,marble,,,,,52.517222,13.3512069
13152260955,große stele ii,sculpture,rainer kriester,,0102,11001001,,concrete,,,,,52.5250482,13.3216408
13155212843,fußballer,sculpture,michael schönholtz,,0106,11001001,,bronze,,,Q112678707,file:skulptur fußballer michael schoenholtz behmstraße berlin-gesundbrunnen.jpg,52.5503266,13.3939297
13175126550,fasan,sculpture,bertold grether,,0402,11004004,,,2019-01,file:skulptur fasan bertold grether fasanenstraße 65 berlin-wilmersdorf 02.jpg,Q136386228,category:pheasant sculpture (bertold grether),52.4998133,13.3272156
13176869529,element wasser fee und leo,sculpture,yoshimi haschimoto,,0402,11004004,,stone,,file:skulptur element wasser fee und leo yoshimi haschimoto bundesallee 1-12 berlin-wilmersdorf.jpg,Q136393974,category:element wasser fee und leo (yoshimi hashimoto),52.4991049,13.3303171
13180463907,äskulap,sculpture,volkmar haase,,0704,11007007,,steel,,,Q110929989,file:brunnen rathausstr 27 (mardf) brunnen.jpg,52.4455983,13.3791281
13183659876,springendes pferd,statue,joachim dunkel,,0501,11005005,,bronze,1965,file:skulptur moritzstr 10 (spand) springendes pferd&joachim dunkel&1965.jpg,Q116474268,category:springendes pferd (joachim dunkel),52.5388372,13.20044
13198107179,herz der hoffnung,stone,,,0106,11001001,,,,,,,52.5352542,13.3879191
13200761676,araberjährling,statue,hans-joachim ihle,,0803,11008008,,bronze,,file:skulptur dröpkeweg 6 (buck) zwei füllen&hans joachim ihle&19745.jpg,Q136450881,"category:araberjährling trabend (hans-joachim ihle, berlin-buckow)",52.4202689,13.4467972
13200761677,araberjährling,statue,hans-joachim ihle,,0803,11008008,,bronze,,file:skulptur dröpkeweg 6 (buck) zwei füllen&hans-joachim ihle&1974.jpg,Q136450908,"category:araberjährling galoppierend (hans-joachim ihle, berlin-buckow)",52.4202314,13.4468114
13201305567,schrippe,stone,,,0106,11001001,,,,,,,52.5357087,13.3892921
