id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
11063717973,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,,,,,,,no,yes,,,,POINT (13.4570258 52.4532265),52.4532265,13.4570258,24/7,https://amazon.de/lockerenrike,,,OpenStreetMap,Amazon,Neukölln,0802,Britz
11069965660,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.4964487 52.4319541),52.4319541,13.4964487,24/7,,,,OpenStreetMap,DHL,Neukölln,0804,Rudow
11078875122,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,,,,,POINT (13.307601 52.5703755),52.5703755,13.307601,24/7,,,,OpenStreetMap,DHL,Reinickendorf,1201,Reinickendorf
11078875123,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,,,,,,,no,,,,,POINT (13.3081304 52.5701679),52.5701679,13.3081304,24/7,,,,OpenStreetMap,Amazon,Reinickendorf,1201,Reinickendorf
11078890874,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,,,,,,,no,yes,,,,POINT (13.2755075 52.5883682),52.5883682,13.2755075,24/7,,,,OpenStreetMap,Amazon,Reinickendorf,1202,Tegel
11081135263,Amazon,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,,yes,,,,POINT (13.3515365 52.5008372),52.5008372,13.3515365,24/7,,,,OpenStreetMap,Amazon,Tempelhof-Schöneberg,0701,Schöneberg
11081137306,DHL,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3502829 52.5006454),52.5006454,13.3502829,24/7,,,,OpenStreetMap,DHL,Tempelhof-Schöneberg,0701,Schöneberg
11092991363,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5744489 52.5463036),52.5463036,13.5744489,,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1001,Marzahn
11102806420,DHL,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,,,,,POINT (13.4344724 52.4263737),52.4263737,13.4344724,,,,,OpenStreetMap,DHL,Neukölln,0803,Buckow
11105706785,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3364135 52.5246389),52.5246389,13.3364135,,,,,OpenStreetMap,DHL,Mitte,0102,Moabit
11107408520,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.2922865 52.5923317),52.5923317,13.2922865,24/7,,,,OpenStreetMap,DHL,Reinickendorf,1202,Tegel
11128492819,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.4309325 52.5474222),52.5474222,13.4309325,,,,,OpenStreetMap,Unknown,Pankow,0301,Prenzlauer Berg
