id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12427689411,Sigismund Samoje,memorial,52.4923357,13.3566692,POINT (13.3566692 52.4923357),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/sigismund-samoje,
12427689412,Alfred Orgler,memorial,52.4923436,13.3566693,POINT (13.3566693 52.4923436),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/elssholzstr/30-33/alfred-orgler,
12430275461,Margarete Graetz,memorial,52.4863855,13.3518051,POINT (13.3518051 52.4863855),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/margarete-graetz,
12430275462,Betty Lenz,memorial,52.4863875,13.3518098,POINT (13.3518098 52.4863875),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/betty-lenz,
12430275463,Hedwig Lewin,memorial,52.4863976,13.3518293,POINT (13.3518293 52.4863976),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/hedwig-lewin,
12430275464,Erich Czapski,memorial,52.4863992,13.351834,POINT (13.351834 52.4863992),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/erich-czapski,
12430275465,Giesela Frey,memorial,52.4863925,13.3518266,POINT (13.3518266 52.4863925),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/giesela-frey,
12430275466,Lothar Herbert Frey,memorial,52.4863945,13.3518316,POINT (13.3518316 52.4863945),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/lothar-herbert-frey,
12430275467,Inge Frey,memorial,52.4863963,13.3518367,POINT (13.3518367 52.4863963),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/inge-frey,
12430275468,Charlotte Frey,memorial,52.4863978,13.3518421,POINT (13.3518421 52.4863978),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/charlotte-frey,
12430275469,Willi Hirsch,memorial,52.4864107,13.3518689,POINT (13.3518689 52.4864107),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/willi-hirsch,
12430275470,Grete Hirsch,memorial,52.4864121,13.351875,POINT (13.351875 52.4864121),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/grete-hirsch,
12430275471,Max Schwarz,memorial,52.4864072,13.3518723,POINT (13.3518723 52.4864072),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/max-schwarz,
12430275472,Marta Schwarz,memorial,52.4864094,13.351878,POINT (13.351878 52.4864094),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/marta-schwarz,
12430275473,Edith Löwenstein,memorial,52.4864324,13.3519274,POINT (13.3519274 52.4864324),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/edith-lowenstein,
12430275474,Eugen Bluth,memorial,52.4864266,13.3519261,POINT (13.3519261 52.4864266),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/eugen-bluth,
12430275475,Marie Driesen,memorial,52.4864285,13.3519316,POINT (13.3519316 52.4864285),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/marie-driesen,
12430275476,Martha Neff,memorial,52.4864299,13.351936,POINT (13.351936 52.4864299),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/martha-neff,
12430275477,Willi Hirschbaum,memorial,52.4864232,13.3519289,POINT (13.3519289 52.4864232),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/willi-hirschbaum,
12430275478,Else Hirschfeld,memorial,52.4864252,13.3519336,POINT (13.3519336 52.4864252),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/else-hirschfeld,
12430275479,Sally Hirschfeld,memorial,52.4864266,13.3519383,POINT (13.3519383 52.4864266),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/39/sally-hirschfeld,
12430293656,Rolf Wertheimer,memorial,52.4854743,13.3487515,POINT (13.3487515 52.4854743),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-strasse/53a/rolf-wertheimer,
